name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,더보기,5.0,101,2.3
인크커피 가산 플래그십 스토어,아메리카노 맛집!더보기,4.0,34,4.0
인크커피 가산 플래그십 스토어,커피도 맛있고 빵도 맛있는데 평일 아님 주말 2시에 가면 앉아서 못 먹는다고 봐야해요..더보기,5.0,19,3.9
인크커피 가산 플래그십 스토어,빵 케잌 특히나 종맛탱구리..더보기,5.0,91,4.4
인크커피 가산 플래그십 스토어,넓어서 얘기하기 편하고 여유로웠어요. 치아바타 얼그레이 드립커피 추천합니다. 케이크나 달달한 빵은 평범했어요.더보기,5.0,44,4.1
인크커피 가산 플래그십 스토어,더보기,5.0,101,2.3
인크커피 가산 플래그십 스토어,아메리카노 맛집!더보기,4.0,34,4.0
인크커피 가산 플래그십 스토어,빵도 맛있고 커피도 맛있어요! 매장도 넓고 편하게 얘기하다 가기 좋아요😊더보기,5.0,22,3.0
인크커피 가산 플래그십 스토어,넓고 깔끔함. 날 좋으면 뷰 구경하는 재미가 있음. 흡연실 있음. 가격이 조금 비싼편. 오후 시간 혹은 주말에는 자리잡기 힘듬. 1인석에서 노트북 가능더보기,5.0,111,3.5
인크커피 가산 플래그십 스토어,더보기,5.0,4,3.3
인크커피 가산 플래그십 스토어,분위기 좋고 깔끔주차가 불편함더보기,4.0,36,2.4
인크커피 가산 플래그십 스토어,맛 분위기 짱짱입니다레몬파운드랑 인크슈페너 꼭드셔보세요소시지빵류도 맛있어요!카페도 넓고 쾌적하고 좋습니다접기,5.0,92,4.0
인크커피 가산 플래그십 스토어,아아에 버터바랑 쿠키 했는데 맛은 없고여가게 넓고 예뻐요가디에 워낙 갈데가 없어서 이정도면 선녀에여더보기,4.0,42,4.2
인크커피 가산 플래그십 스토어,가산 최고더보기,5.0,12,3.3
인크커피 가산 플래그십 스토어,넓은 거랑 화장실 깨끗한 것만 좋아요. 메뉴가 바뀐건지 제가 찾아보고 간 베이커리는 하나도 없었구요. 베이커리는 큰 기대 안하시는게 좋을 것 같아요. 그냥 파바 맛이네요 ㅋㅋㅋ 그리고 몇몇 알바 분들 서비스 교육이 시급해보이네요.. 여자 화장실이 매 층에 있지 않아서 지하나 3층 이용해야 돼요.더보기,3.0,42,3.7
인크커피 가산 플래그십 스토어,좋네요더보기,5.0,3,5.0
인크커피 가산 플래그십 스토어,커피 맛있음 고소함과 신맛이 적당히 블랜딩베이커리류도 무난하게 맛남케이크는 비추.. 케이크 너무달아요 ㅠㅠ키페 넓고 쾌적하고 테이블 편함!!굳접기,4.0,222,3.9
인크커피 가산 플래그십 스토어,아아에 버터바랑 쿠키 했는데 맛은 없고여가게 넓고 예뻐요가디에 워낙 갈데가 없어서 이정도면 선녀에여더보기,4.0,42,4.2
인크커피 가산 플래그십 스토어,가산 최고더보기,5.0,12,3.3
